pzplus名称	收录?	英文名	中文名	周	分类		规则
creek	1	Creek	溪流	1	涂黑I	颜色正交连通	涂黑一些格子，使得留白的格子连通成一个整体。圆圈里的数字表示接触此顶点的涂黑格数。
disco	0.8	Disconnection	disco	1	涂黑I	颜色正交连通	在每个区域内涂黑恰好两组连通的格子，使得所有涂黑的格子连通成一个整体，且没有全部涂黑的2×2结构。
hitori	1	Hitori	数壹	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。任意两个同行或同列的留白格不能包含相同的数字。
lits	1	LITS	四格骨墙	1	涂黑I	颜色正交连通	在每个区域内涂黑一个四格骨牌，使得所有涂黑的格子连通成一个整体，且没有全部涂黑的2×2结构。不同区域中全等的四格骨牌不能相邻。
aqre	1	Aqre	黑白无四	1	涂黑I	颜色正交连通	涂黑一些空格，使得所有涂黑的格子连通成一个整体，且没有全部涂黑或者全部留白的1×4或4×1的结构。数字表示此区域内涂黑格的个数。
parquet	1	Parquet	拼花地板	1	涂黑I	颜色正交连通	在每个粗线构成的区域内完全涂黑恰好一个被细线分隔的区域，使得所有涂黑的格子连通成一个整体。涂黑格不能形成回路（包括2×2结构）。
nothree	1	No Three	等隔无三	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。每个圆圈恰和一个涂黑格接触。同一行或同一列的三个连续黑格不能等距排列。
teri	1	Territory	矩形领土	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。有白圈的格子必须留白。白圈里的数字表示包含此格的最大留白长方形的面积。
heyawake	1	Heyawake	数间	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。任意一横段或纵段留白格不能穿过两个以上区域边界。数字表示此区域内涂黑格的个数。
nurikabe	1	Nurikabe	数墙	1	涂黑I	颜色正交连通	涂黑一些空格，使得所有涂黑的格子连通成一个整体，且没有全部涂黑的2×2结构。每一组连通的留白格必须恰好包含一个数字。数字表示其所在的留白的连通组格数。
akichi	1	Akichiwake	数间(空地)	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。任意一横段或纵段留白格不能穿过两个以上区域边界。数字表示此区域内最大留白连通组的面积。
canal	1	Canal View	峡谷	1	涂黑I	颜色正交连通	涂黑一些空格，使得所有涂黑的格子连通成一个整体，且没有全部涂黑的2×2结构。圆圈里的数字表示此格横竖能够直接连接到且不被留白格阻挡的涂黑格个数，不包括此格本身。
sumiwake	0.8	Sumiwake	圆角房间	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。任意一横段或纵段留白格不能穿过两个以上区域边界。白圈恰和一个涂黑格接触，黑圈恰和两个涂黑格接触。
usoone	1	Uso-One	单一谎言	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。数字表示与之相邻的（至多）四格中涂黑格的个数。数字格不能涂黑。每个区域内都恰好有一个错误的数字。
yajikazu	1	Yajisan-Kazusan	真假仙人	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。在留白格内有箭头的数字表示从此格开始在这个方向中涂黑格的个数。这些提示数在涂黑格里则不提供信息。
kurodoko	1	Kurodoko	田鼠挖洞	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。白圈里的数字必须在留白格里，并表示此格横竖能够直接连接到且不被涂黑格阻挡的留白格个数，包括此格本身。
paintarea	1	Paintarea	涂鸦区域	1	涂黑I	颜色正交连通	涂黑一些格子，使得所有涂黑的格子连通成一个整体，且没有全部涂黑或者全部留白的2×2结构。每个区域要么全部涂黑要么全部留白。数字表示与之相邻的（至多）四格中涂黑格的个数。
nuritwin	0.8	Nuritwin	涂黑成对	1	涂黑I	颜色正交连通	在每个区域内涂黑恰好两组连通的格子，使得这两组格子面积相等且不相邻，且所有涂黑的格子连通成一个整体。不能有全部涂黑的2×2结构。数字表示其所在区域内一个涂黑格连通组的面积。
aquapelago	1	Aquapelago	千岛湖	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。不能有全部留白的2×2结构。数字所在的格子必须涂黑。数字表示其所在的对角连通的一组涂黑格的格数，包括格子本身。
context	1	Context	黑斜白邻	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。在留白格内的数字表示和此格相邻的涂黑格的个数。这些提示数在涂黑格里则表示和此格接触（但不相邻）的涂黑格的个数。
cave	1	Cave	山洞	1	涂黑I	颜色正交连通	涂黑一些格子，使得所有涂黑的格子都能沿涂黑格横竖连通到盘面边界，且留白的格子连通成一个整体。数字必须在留白格里，并表示此格横竖能够直接连接到且不被涂黑格阻挡的留白格个数，包括此格本身。
guidearrow	1	Guide Arrow	指引箭头	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。留白格不能形成回路（包括2×2结构）。箭头表示从此格出发，在不经过涂黑格也不倒退的情况下，能够走到星星的路径的唯一方向。
ayeheya	1	Ayeheya	对称数间	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。任意一横段或纵段留白格不能穿过两个以上区域边界。数字表示此区域内涂黑格的个数。所有区域的涂黑情况必须满足180°旋转对称。
oasis	0.8	Oasis	绿洲	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。不能有全部留白的2×2结构。有白圈的格子必须留白。白圈里的数字表示从此格出发，在只经过空白格的情况下，可以走到的白圈个数。
nurimisaki	1	Nurimisaki	数岬	1	涂黑I	颜色正交连通	涂黑一些空格，使得所有留白的格子连通成一个整体，且没有全部涂黑或者全部留白的2×2结构。圆圈标记了所有恰好只和另一个留白格相邻的留白格。圆圈里的数字表示此格横竖能够直接连接到且不被涂黑格阻挡的留白格个数，包括此格本身。
sashikabe	0.8	Sashikabe	曲尺数墙	1	涂黑I	颜色正交连通	涂黑一些空格，使得所有涂黑的格子连通成一个整体，且没有全部涂黑的2×2结构。每一组连通的留白格必须是宽度为一的L形区域。圆圈必须在L形留白区域内转弯的位置，而箭头则必须在留白区域的一端，指向转弯的位置。圆圈里的数字表示其所在留白区域的面积。
oneroom	1	One Room One Door	单房门	1	涂黑I	颜色正交连通	涂黑一些格子，使得涂黑的格子之间不相邻，且留白的格子连通成一个整体。每个区域中的留白格也需要连通成一个整体。数字表示此区域内涂黑格的个数。对于任意两个相邻的区域，不能有超过一对相邻留白格穿过它们相邻的边界。（也就是说，每两个“房间”至多有一扇“门”沟通）。
cts	1	Cross the Streams	过河	1	涂黑I	颜色正交连通	涂黑一些空格，使得所有涂黑的格子连通成一个整体，且没有全部涂黑的2×2结构。盘面外的数字依次表示此行或此列中每一段连续涂黑格的长度。问号可以表示任何单个提示数，而星号可以表示任何个连续的提示数（包括0个）。作为特例，一个单独的“0”表示此行或此列没有涂黑格。
coral	1	Coral	珊瑚	1	涂黑I	颜色正交连通	涂黑一些格子，使得所有涂黑的格子连通成一个整体，且留白的格子连通到边界。涂黑的格子不能形成2×2的区域。盘面外的数字（如果有）表示此行或此列中每一段连续涂黑格的长度，数字之间无顺序要求。问号可以表示任何单个提示数。作为特例，一个单独的“0”表示此行或此列没有涂黑格。
tapa	1	Tapa	土派艺术	1	涂黑I	颜色正交连通	涂黑一些空格，使得所有涂黑的格子连通成一个整体，且没有全部涂黑的2×2结构。格内一个或多个数字表示和此格接触的（至多）八格中所有连续涂黑格段的长度，但不限定顺序。作为特例，一个单独的“0”表示没有和此格接触的涂黑格，而一个单独的问号（格内没有其他问号或数字）也可以代表“0”。
nurimaze	1	Nurimaze	迷宫地图	1	涂黑I	颜色正交连通	把一些空格涂黑，使得没有全部涂黑或者全部留白的2×2结构，而且每个区域要么全部涂黑要么全部留白。所有留白格必须连通成一个整体且不成环。（也就是说，在任意两个留白格之间必须有唯一一条通过相邻留白格连接两者且不重复通过同一格的路径。）圆圈表示此格在S格到G格之间的唯一路径上，而三角形表示此格不在这条唯一路径上。
norinori	1	Norinori	海苔	2	涂黑II	色块是海苔	在每个区域内涂黑恰好两格，使得每一组涂黑的连通组恰好有两格。
chocona	1	Chocona	巧克力	2	涂黑II	色块是矩形	涂黑一些格子，使得每组相连的涂黑格形状为长方形。数字表示该区域中涂黑的单元格数。
box	1	Box/Kakurasu	方阵和	2	涂黑II	见Aquarium	涂黑一些空格，使得盘面外的数字等于此行或此列中涂黑格所在列号或行号（盘面外圆圈内的数字）的和。
tilepaint	1	Tilepaint	数瓦	2	涂黑II	见Aquarium	涂黑一些空格，使得每个区域要么全部涂黑要么全部留白。盘面外的数字表示此行或此列内涂黑格的个数。
cbanana	1	Choco Banana	巧克力香蕉	2	涂黑II	黑白规则交替	涂黑一些格子，使得每个涂黑的连通组都是长方形，而每个留白的连通组都不是长方形。数字表示其所在的涂黑或留白的连通组的面积。
bosnianroad	0.8	Bosnian Road	波斯尼亚路	2	涂黑II	色块是一条路	涂黑一些空格，使得所有涂黑的格子连通成一个不和自身接触的环。数字格不能涂黑。数字表示与此格接触的（至多）八格中的涂黑格个数。
hinge	1	Hinge	合页	2	涂黑II	黑块被对称切	涂黑一些格子，使得每一组连通的涂黑格恰好跨过一条连续的区域边界，并被其分隔为沿该区域边界对称的两部分。数字表示此区域内涂黑格的个数。
snakeegg	1	Snake Egg	蛇蛋	2	涂黑II	色块是一条蛇	涂黑一条宽度为一的蛇，使得每一组留白的连通组格数与盘面外给出的数一一对应。黑圈表示此格是蛇的一端。数字表示其所在的留白的连通组格数。
yinyang	1	Yin-Yang	阴阳	2	涂黑II	黑白规则交替	在盘面内每个格子放入一个黑色圆圈或者白色圆圈，使得黑色圆圈和白色圆圈分别横竖连通为一个整体。黑色圆圈和白色圆圈均不形成2×2的区域。
shakashaka	1	Shakashaka	摇啊摇	2	涂黑II	色块是矩形	涂黑一些空格的一半（一个等腰直角三角形），使得所有留白的区域都是横平竖直或者对角方向的长方形。黑格里的数字表示与此格相邻的涂黑一半的空格数。
dominion	1	Dominion	多米诺分区	2	涂黑II	色块是多米诺	涂黑一些1×2的长方形，将盘面分为若干个留白的区域。涂黑的长方形不能相邻。字母格不能涂黑。每个区域有且仅有一种字母，相同的字母都在同一个区域。
snake	1	Snake	数蛇	2	涂黑II	色块是一条蛇	涂黑一条宽度为一且不和自身接触的蛇。黑圈表示此格是蛇的一端，白圈表示此格是蛇身的一部分（但不是一端）。盘面外的数字表示此行或此列内涂黑格的个数。
circlesquare	1	Circles and Squares	方圆	2	涂黑II	色块是方形	涂黑一些空格，使得所有涂黑的格子连通成一个整体，且没有全部涂黑的2×2结构。有黑圈的格子必须涂黑，有白圈的格子必须留白。每一组留白的连通组都是正方形。
tetrochain	1	Tetro Chain-Y	四格骨牌链(指)	2	涂黑II	色块是4mino	涂黑一些格子，使得每个涂黑的连通组均为四格骨牌。所有四格骨牌对角连通，任意两个对角相邻的四格骨牌不能全等。数字格不能涂黑。数字表示相应方向上的黑格个数。
go	0	Go	围棋	2	涂黑II	黑白规则交替	涂黑一些格子，使得有黑圈的格子都涂黑，有白圈的格子都留白。圆圈里的数字表示与其所在的涂黑或留白的连通组相邻且颜色相反的总格数（也就是这一片“棋子”的“气”的数量）。
norinuri	1	Norinuri	海苔墙	2	涂黑II	色块是海苔	涂黑一些1×2的长方形，将盘面分为若干个留白的区域。涂黑的长方形不能相邻。数字格不能涂黑。每一组连通的留白格必须恰好包含一个数字。数字表示其所在的留白的连通组格数。
diamond	1	Diamond Chain	钻石链	2	涂黑II	色块是钻石	涂黑一些2×2的菱形（斜正方形），使得所有菱形与已经给出的黑格一起对角连通成一个整体。菱形不能与黑格或其他菱形重叠或有公共边。黑格中的数字表示有多少个菱形与此格共顶点。
